r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
428 81307 129765 117805 81307 82207 82928 84728 11087.966192923628 5
429 82980 8241 9437 82980 83880 83839 85639 2452.269551935741 5
430 83622 100454 95360 83622 84522 84579 86379 4119.2131358377965 5
431 84506 7881 12730 84506 85406 85366 87166 2561.602944686738 5
1105 58605 62173 11511 58605 59505 60706 62506 43599.369726193865 5
1106 60167 116946 2144 60167 61067 61278 63078 5913.0536400620285 5
1107 63643 109461 93915 63643 64543 67228 69028 60385.95085637215 5
1108 73819 33995 100502 73819 74719 75525 77325 45608.42060380381 5
1109 75111 5423 77286 75111 76011 75948 77748 3423.8836245582083 5
1110 75939 7348 7644 75939 76839 76823 78623 3554.3147829468244 5
1111 82174 57921 5559 82174 83074 83986 85786 43918.5339449646 5
1112 85767 51781 35940 85767 86667 801 2601 10894.777593607525 5
1706 46141 10727 62124 46141 47041 48133 49933 46011.72480140678 5
1707 54113 62170 3373 54113 55013 56346 58146 40755.49192848218 5
1708 56040 6148 11509 56040 56940 57302 59102 6931.717380025217 5
1709 57401 6392 5547 57401 58301 58519 60319 4705.6368682448 5
1710 58533 95538 88787 58533 59433 60058 61858 9174.8224564758 5
1711 60007 36227 10272 60007 60907 61371 63171 6250.414671817616 5
1712 62208 1421 4373 62208 63108 63109 64909 3805.5264257338304 5
1713 63173 7097 14773 63173 64073 63986 65786 2810.7173889693086 5
1714 66929 109472 64492 66929 67829 69665 71465 24365.841415737163 5
1715 77472 62027 9889 77472 78372 79517 81317 47051.97907595069 5
1716 79438 11846 2130 79438 80338 80501 82301 4127.357720580231 5
1717 83680 7955 55676 83680 84580 85322 87122 9726.929645474265 5
1718 84948 85458 70355 84948 85848 86299 88099 10309.173860841753 5
2408 46673 2651 85125 46673 47573 47688 49488 7076.1737437480215 5
2409 48864 123731 53808 48864 49764 49673 51473 2814.729265112982 5
2410 51009 66159 11509 51009 51909 52481 54281 11575.274547434898 5
2411 52730 2860 5804 52730 53630 54513 56313 14644.339112168913 5
2412 54714 85472 3118 54714 55614 55949 57749 5886.684001037958 5
2413 56121 10472 12217 56121 57021 57837 59637 2596.0412310471893 5
2414 57681 51752 7104 57681 58581 58568 60368 2385.0179931702605 5
2415 58185 7100 100434 58185 59085 59777 61577 7168.219947980606 5
2416 60035 2504 62154 60035 60935 62094 63894 47415.08971146045 5
2417 63290 61996 34381 63290 64190 65545 67345 10901.353741437317 5
2418 65667 62237 130752 65667 66567 67375 69175 43603.873586370115 5
2419 67151 57203 5129 67151 68051 68249 70049 9409.979690408038 5
2420 77927 82998 2164 77927 78827 78713 80513 3338.579400578835 5
2421 80729 7840 62121 80729 81629 82460 84260 40299.03454926887 5
2981 49973 62233 9900 49973 50873 51809 53609 44903.816548993054 5
2982 56336 62027 130823 56336 57236 58305 60105 44156.86664814264 5
2983 58274 9903 95358 58274 59174 59245 61045 3491.228097310564 5
2984 58903 7091 2130 58903 59803 59967 61767 4753.298574147195 5
2985 62475 53359 11300 62475 63375 64454 66254 45823.27120809138 5
2986 68875 109613 65770 68875 69775 70799 72599 43168.82293836029 5
2987 77822 109461 5425 77822 78722 79293 81093 43846.016211032074 5
3840 46187 14661 62145 46187 47087 47614 49414 43368.23688939767 5
3841 48196 64175 3118 48196 49096 49061 50861 3969.732211240576 5
3842 48698 12076 100510 48698 49598 49457 51257 2216.5546724150854 5
3843 51135 3147 125533 51135 52035 52485 54285 14551.408694593418 5
3844 52206 611 4248 52206 53106 53032 54832 3551.8263966541617 5
3845 52944 11302 130699 52944 53844 54166 55966 8375.924180311915 5
3846 53893 105053 7972 53893 54793 54766 56566 2318.1514009840953 5
3847 54639 12765 14807 54639 55539 55728 57528 6658.8647110685015 5
3848 55199 3137 105053 55199 56099 56554 58354 8928.111694056495 5
3849 59852 112052 4737 59852 60752 61212 63012 9933.624702179004 5
3850 61486 7103 11931 61486 62386 62369 64169 2313.185206837412 5
3851 62644 1433 95437 62644 63544 63838 65638 7023.178201530028 5
3852 63374 18056 11509 63374 64274 64166 65966 2773.9212735002275 5
3853 65227 4248 62138 65227 66127 66823 68623 44826.79918878094 5
3854 69638 12763 23824 69638 70538 71731 73531 62739.228577180096 5
3855 77310 126938 2655 77310 78210 78636 80436 7116.440498004933 5
3856 81191 18456 104891 81191 82091 82078 83878 2918.638544609256 5
3857 82006 9888 95434 82006 82906 83211 85011 5876.815140760285 5
3858 83010 100488 4756 83010 83910 84256 86056 7773.123313853848 5
3859 84936 5805 87453 84936 85836 85945 87745 6227.685570400472 5
3860 85690 120233 112053 85690 86590 322 2122 4318.735400973897 5
4536 63627 109613 21242 63627 64527 64781 66581 18448.70619023886 5
4537 65401 44380 36209 65401 66301 66862 68662 36246.61523659067 5
4538 71939 109472 95434 71939 72839 73580 75380 42765.07025600561 5
4539 79784 109465 5559 79784 80684 81485 83285 44558.533289850355 5
4904 60625 62088 124165 60625 61525 61796 63596 15473.566210567893 5
4905 61949 33990 6807 61949 62849 64120 65920 49067.046195144205 5
4906 64457 85485 10270 64457 65357 65388 67188 3100.5543973390763 5
4907 79138 109584 115718 79138 80038 80565 82365 19504.075914168036 5
4908 82132 109580 10249 82132 83032 83988 85788 42359.66687847071 5
4909 84823 3376 118146 84823 85723 85683 87483 2402.595231500016 5
4910 85733 18565 100512 85733 86633 647 2447 5884.622067993923 5
5371 55695 62102 105014 55695 56595 58296 60096 41291.87504020376 5
5372 61556 62173 4245 61556 62456 63192 64992 42111.6120767495 5
5373 64280 128388 8024 64280 65180 65608 67408 7925.78512565685 5
5374 69203 114705 12500 69203 70103 71079 72879 6257.848585099093 5
5375 70771 62511 46077 70771 71671 73296 75096 14117.28896844322 5
5376 74382 45463 8294 74382 75282 75548 77348 6270.075465867628 5
5377 75010 36231 3155 75010 75910 76464 78264 10645.557007704594 5
5378 75929 3155 5473 75929 76829 77350 79150 9914.009139428657 5
5379 78520 70417 11301 78520 79420 79782 81582 5081.5151373532335 5
5380 79703 4681 103578 79703 80603 80885 82685 5379.041029673274 5
6033 48862 11930 62209 48862 49762 50671 52471 45854.751584748585 5
6034 51574 104035 109471 51574 52474 53393 55193 37662.45417490683 5
6035 54517 117797 39628 54517 55417 57313 59113 28150.83861048954 5
6036 62774 62172 108367 62774 63674 63810 65610 9444.10826047972 5
6037 63917 62029 23578 63917 64817 65144 66944 18906.09112696181 5
6038 65814 62206 4250 65814 66714 67599 69399 43219.509463235045 5
6039 67417 11435 65358 67417 68317 68476 70276 5026.111127292474 5
6040 70623 55536 127269 70623 71523 71904 73704 10848.226770949885 5
6041 72954 10306 117283 72954 73854 75016 76816 23056.158753565294 5
6042 75184 128840 5559 75184 76084 76075 77875 2283.077117342717 5
6043 78280 36236 7104 78280 79180 79692 81492 8919.175064015095 5
6044 79988 8328 91492 79988 80888 81071 82871 6254.862448547759 5
6045 81003 17687 5424 81003 81903 82231 84031 3943.525877557344 5
6046 81705 5427 2978 81705 82605 82688 84488 4266.919730934969 5
6047 82854 71452 111729 82854 83754 84034 85834 28946.352054092924 5
6048 84722 3872 62506 84722 85622 86106 87906 8502.049475011914 5
6724 59127 35757 54881 59127 60027 60097 61897 6419.227576101761 5
6725 60656 95361 16660 60656 61556 62551 64351 15419.085305487599 5
6726 63391 104869 14662 63391 64291 64663 66463 6591.949435467098 5
6727 64622 7086 91439 64622 65522 65764 67564 5332.062116228937 5
6728 67534 484 10053 67534 68434 68370 70170 2652.472335044509 5
6729 68638 87206 8606 68638 69538 69657 71457 3927.927106893838 5
6730 71941 7664 483 71941 72841 73050 74850 5058.777020461152 5
6731 73572 16909 128877 73572 74472 74756 76556 5382.18984316333 5
6732 75047 104710 128753 75047 75947 76341 78141 5499.394612888065 5
6733 84552 33948 123434 84552 85452 44 1844 44376.98585994029 5
7404 47095 10472 98991 47095 47995 49062 50862 45116.21781650925 5
7405 51074 4245 10038 51074 51974 52151 53951 3948.3275982229397 5
7406 51685 4744 91439 51685 52585 52780 54580 6535.623847604097 5
7407 52349 11199 14793 52349 53249 53390 55190 4354.390398119783 5
7408 52940 85092 11424 52940 53840 53815 55615 2210.169404906034 5
7409 53730 65763 9292 53730 54630 55270 57070 7161.621009416274 5
7410 55072 4234 85092 55072 55972 56034 57834 3757.3894621875793 5
7411 56694 3124 109477 56694 57594 58561 60361 45618.884332125395 5
7412 61219 109461 91502 61219 62119 62978 64778 47094.33259133911 5
7413 63903 7086 62139 63903 64803 65630 67430 44955.29843658922 5
7414 68780 109461 76755 68780 69680 69840 71640 14694.227669391614 5
7415 70375 33517 127119 70375 71275 71490 73290 13722.426616591774 5
7416 72110 33979 2276 72110 73010 73468 75268 30926.699856802672 5
7417 74315 62239 9889 74315 75215 76330 78130 47756.40138677583 5
7418 75795 3509 62115 75795 76695 78149 79949 48044.594112834675 5
7419 81485 8187 5548 81485 82385 82476 84276 4979.750563224253 5
7420 82210 130530 3517 82210 83110 83368 85168 5369.887453684458 5
7421 83198 11303 3123 83198 84098 84216 86016 3781.792666266325 5
7422 84513 4250 14491 84513 85413 85516 87316 5304.319489702749 5
8284 50970 1862 62145 50970 51870 52514 54314 36973.968332099146 5
8285 58995 61998 1692 58995 59895 60706 62506 39544.263440579154 5
8286 60774 9412 7898 60774 61674 62263 64063 12674.445400589739 5
8287 62766 11819 9292 62766 63666 64437 66237 11862.82968500589 5
8288 64703 87375 1431 64703 65603 66159 67959 9803.722741500644 5
8289 66243 7766 62142 66243 67143 68086 69886 44197.51467455329 5
8290 72287 62241 67302 72287 73187 73299 75099 13959.695957698663 5
8291 74162 62236 4749 74162 75062 75852 77652 44591.41327927942 5
8292 75915 3135 42271 75915 76815 77034 78834 5364.156356907905 5
8293 76662 5454 13766 76662 77562 78201 80001 10301.075334006277 5
8294 79610 47448 4243 79610 80510 80866 82666 12484.703983698952 5
8295 80472 4249 8092 80472 81372 81632 83432 7439.704136340014 5
8296 81503 125607 42319 81503 82403 82800 84600 7606.472682670579 5
8297 82648 44667 36303 82648 83548 83510 85310 3995.2863721917897 5
8298 83617 11670 8316 83617 84517 84989 86789 11340.681394415335 5
9103 48049 9903 82934 48049 48949 49399 51199 24344.67580653147 5
9104 51324 62309 62143 51324 52224 52872 54672 36943.594546012915 5
9105 53699 3124 6771 53699 54599 54662 56462 3556.944842080222 5
9106 54769 117663 131090 54769 55669 55718 57518 3247.317448903394 5
9107 55633 3131 7200 55633 56533 56940 58740 11677.221261911816 5
9108 56806 4605 91492 56806 57706 58614 60414 11817.194622356972 5
9109 58865 12085 130090 58865 59765 59814 61614 3181.249633235828 5
9110 59319 18371 48296 59319 60219 61804 63604 6289.911299268189 5
9111 61848 7667 62121 61848 62748 64872 66672 48036.39940727551 5
9112 67462 82125 5559 67462 68362 69116 70916 43486.089238988636 5
9113 70726 7089 8217 70726 71626 71635 73435 2628.0428495093533 5
9114 71128 4246 4738 71128 72028 71957 73757 2184.8237629073237 5
