r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
78 186 119062 10170 186 1086 1731 3531 8620.703492682907 5
79 1535 95051 9903 1535 2435 3291 5091 10805.055123646436 5
80 2960 91499 87624 2960 3860 3877 5677 3498.4824242145382 5
81 3714 87175 12729 3714 4614 4796 6596 3420.376702541995 5
82 4804 103790 11437 4804 5704 5827 7627 3012.944324997349 5
83 5404 17217 6362 5404 6304 6302 8102 2560.662633869205 5
84 6165 18371 95221 6165 7065 7209 9009 3039.0961268316405 5
85 6742 6363 10161 6742 7642 7770 9570 2595.484055168727 5
86 7507 77947 103577 7507 8407 8645 10445 4696.667570380534 5
87 8223 9479 9557 8223 9123 9397 11197 6232.711884233175 5
88 9719 9521 33512 9719 10619 11411 13211 43549.8657081068 5
89 13026 62211 14793 13026 13926 14832 16632 44389.34775047786 5
90 14676 10533 95434 14676 15576 15707 17507 4019.9881280084132 5
91 15605 128869 85419 15605 16505 16675 18475 5378.095977444669 5
92 16285 6789 4688 16285 17185 17137 18937 2212.8292299049963 5
93 16862 15339 9903 16862 17762 17734 19534 3342.4744485840456 5
94 17269 11371 11867 17269 18169 18282 20082 4694.974838419565 5
95 18876 44282 16034 18876 19776 19621 21421 2667.6434019634667 5
96 19191 5548 11947 19191 20091 20334 22134 8479.97412493227 5
97 20557 2661 35958 20557 21457 21802 23602 10110.942918256338 5
98 26148 77409 7678 26148 27048 27185 28985 6970.353499828484 5
99 32355 87663 11515 32355 33255 33225 35025 2638.2715697110348 5
100 46779 929 111730 46779 47679 48338 50138 44722.88311894333 5
101 50336 37005 111730 50336 51236 51843 53643 42181.99762630169 5
102 54475 50072 1135 54475 55375 55844 57644 10614.927345052269 5
103 56311 15496 4670 56311 57211 57496 59296 5525.49435908807 5
104 57087 2238 10697 57087 57987 58551 60351 6142.062334525646 5
105 58288 130396 128727 58288 59188 59176 60976 2470.4242077344793 5
106 59924 85128 3622 59924 60824 61075 62875 5555.8194432162745 5
107 61281 11300 105559 61281 62181 63082 64882 14539.97701871544 5
108 63295 10169 125966 63295 64195 64642 66442 9224.08926835821 5
109 64314 3118 44305 64314 65214 65627 67427 6832.31809753689 5
110 66202 4234 8231 66202 67102 67634 69434 8655.846362666394 5
111 67130 8229 5614 67130 68030 68724 70524 9103.037172100167 5
112 70323 16356 8327 70323 71223 71374 73174 6351.077539798056 5
113 71117 10272 4386 71117 72017 72059 73859 2802.965458737138 5
114 71674 85388 96982 71674 72574 72791 74591 7782.260559039171 5
115 73415 42757 129440 73415 74315 74315 76115 3737.646851563412 5
