r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
196438 10 2648 128753 10 910 1108 2908 4216.557642261768 5
73962 14 16923 8238 14 914 1016 2816 4470.366702638623 5
90330 19 5837 68689 19 919 2079 3879 26293.48699532139 5
222191 24 15531 95434 23 923 837 2637 2039.037784419464 5
48242 26 85360 4739 25 925 1166 2966 4657.440980308113 5
107708 35 8234 2868 35 935 922 2722 2480.2596543250547 5
244009 65 9027 36212 65 965 1548 3348 10740.395074879436 5
134910 84 88474 5205 84 984 1176 2976 3007.940895094685 5
105368 87 6362 87663 87 987 1320 3120 4198.00866885343 5
102531 91 3148 1483 91 991 1828 3628 11410.249257875743 5
198104 101 5420 35944 101 1001 1845 3645 10945.276858018577 5
151806 105 18934 4098 105 1005 1269 3069 7802.5982468892 5
218433 123 2042 8313 123 1023 1752 3552 11694.462972651294 5
246358 133 3144 12898 133 1033 2664 4464 18452.53666116704 5
166958 144 2846 2151 144 1044 1440 3240 4444.988524408895 5
354983 148 3731 28753 148 1048 2327 4127 25046.713671269565 5
203887 154 62207 87633 154 1054 3035 4835 43396.50180658725 5
334116 158 45703 16686 158 1058 1996 3796 9013.406399682774 5
136376 161 5454 16907 161 1061 1070 2870 2024.4721816152903 5
346444 163 3116 7857 163 1063 2221 4021 9382.154551483914 5
115094 166 72678 95435 166 1066 1968 3768 10914.751163442494 5
313052 173 3373 117120 173 1073 1289 3089 4363.113151624166 5
250442 192 9837 7419 192 1092 1861 3661 11389.081242099757 5
90942 194 87228 2151 194 1094 1251 3051 4180.078486336234 5
289136 196 10100 11506 196 1096 2688 4488 4173.105789305928 5
20897 205 15631 10100 205 1105 1272 3072 8035.260243432811 5
248929 212 2122 65495 212 1112 1465 3265 5912.100783163295 5
12817 217 80610 11509 217 1117 1504 3304 5328.019729545061 5
285968 221 11413 10474 221 1121 1400 3200 4995.5023762680785 5
15107 224 83330 127605 224 1124 1431 3231 8512.644225106009 5
101770 236 14069 6783 236 1136 1250 3050 3180.3799355809356 5
283125 248 96984 4080 248 1148 1153 2953 2460.614713870601 5
29497 250 9889 7647 249 1149 2112 3912 6100.155838587895 5
244771 257 87633 12974 257 1157 1229 3029 2940.952372739471 5
96867 270 91499 36311 270 1170 2027 3827 6694.153359784496 5
237502 273 11304 100427 272 1172 1625 3425 5785.818028931991 5
239063 275 1034 9562 274 1174 1756 3556 11162.403955093136 5
273655 303 7085 11436 303 1203 1172 2972 2146.072991134852 5
344617 306 6153 70417 306 1206 2025 3825 10590.076333336572 5
133504 312 483 7655 312 1212 2148 3948 5720.303779629717 5
46382 319 14799 120268 319 1219 1533 3333 7321.823035728937 5
124016 321 129903 10169 320 1220 1556 3356 5982.606194636798 5
329803 327 35755 117797 327 1227 2305 4105 11703.361128165523 5
319712 336 12177 10469 336 1236 1419 3219 4815.923113695271 5
70814 347 7104 10353 347 1247 1611 3411 6450.436934941108 5
187494 367 11843 130752 367 1267 1457 3257 2949.315849116247 5
370615 384 2658 109594 384 1284 3067 4867 47294.96331287736 5
201304 387 3921 10568 387 1287 1900 3700 10030.419871450516 5
224364 389 107155 7886 389 1289 1728 3528 5417.449032439345 5
104697 396 88230 111724 396 1296 3928 5728 49106.83567380653 5
260113 409 10164 1431 409 1309 1172 2972 2138.6170291662115 5
128367 414 8551 100427 414 1314 1805 3605 5791.203171870937 5
108481 417 8551 128753 417 1317 1908 3708 5346.465083789997 5
238274 421 9837 12362 421 1321 2208 4008 7679.302410931477 5
367035 427 62023 5785 427 1327 3077 4877 43821.80723023577 5
49781 433 100509 3210 433 1333 2102 3902 13006.628807960207 5
316927 443 5468 13628 443 1343 1478 3278 3658.227298017296 5
