r.id  r.timeCall  r.pickupLocationID r.deliveryLocationID  r.earlyPickupTime  r.latePickupTime  r.earlyDeliveryTime  r.lateDeliveryTime  r.maxTravelDistance  r.maxNbStops
1 26611 4248 3131 26611 27511 27630 29430 4949.568353422826 5
2 69123 95437 104703 69123 70023 70701 72501 6300.520982638584 5
3 74562 82152 64492 74562 75462 77149 78949 25404.20821192947 5
4 80563 33995 9448 80563 81463 82005 83805 38784.21793444249 5
5 83004 24520 2412 83004 83904 84722 86522 41637.36787517277 5
702 -368 104725 87643 -368 532 1085 2885 5982.371877140724 5
703 727 10350 2787 727 1627 2386 4186 7943.366292149628 5
704 2272 11509 17178 2272 3172 4841 6641 12206.868917717626 5
705 4627 15632 5543 4627 5527 6483 8283 11196.546243402681 5
706 6111 3866 10456 6111 7011 7170 8970 6293.5976253571125 5
707 7411 14797 1433 7411 8311 8733 10533 9537.611152714082 5
708 9039 4599 3508 9039 9939 10149 11949 4054.3569232296945 5
709 10359 4730 4742 10359 11259 11180 12980 2314.9221931028924 5
710 11635 43464 10475 11635 12535 12769 14569 5778.928157771828 5
711 12739 3117 2820 12739 13639 14109 15909 9732.024948047449 5
712 13638 6669 65198 13638 14538 14901 16701 7273.948960062406 5
713 16467 11840 126052 16467 17367 17461 19261 4864.907182871073 5
714 18804 15496 17290 18804 19704 19998 21798 8183.376178245054 5
715 20352 11840 3393 20352 21252 21857 23657 13555.613689548236 5
716 21476 3381 83896 21476 22376 22390 24190 4187.171367717055 5
717 58188 33520 91739 58188 59088 59146 60946 8056.141127017384 5
718 59512 38803 130752 59512 60412 61213 63013 42874.85554898233 5
719 65239 109464 7843 65239 66139 66592 68392 41184.37680149453 5
720 67269 62036 85433 67269 68169 68898 70698 46067.47601226603 5
721 68859 8093 4245 68859 69759 70609 72409 8167.4839166440925 5
722 70748 105017 62142 70748 71648 72208 74008 42379.419238777824 5
723 74314 62242 34528 74314 75214 76421 78221 10957.155484581392 5
724 76641 111712 64492 76641 77541 78569 80369 27034.82927175553 5
725 82091 43344 98639 82091 82991 83854 85654 43190.04423452577 5
726 84108 125744 87620 84108 85008 85011 86811 4040.008058804119 5
727 84715 4233 88237 84715 85615 85729 87529 4016.3871879516487 5
1332 1731 62170 4872 1731 2631 4355 6155 39253.61911117293 5
1333 4573 9439 2806 4573 5473 5595 7395 3496.1294390806675 5
1334 8469 57921 8068 8469 9369 10289 12089 41378.15856906209 5
1335 10537 7972 40779 10537 11437 12111 13911 2393.725637130525 5
1336 11721 130728 48311 11721 12621 12703 14503 5526.664646632499 5
1337 12297 9889 3114 12297 13197 13259 15059 4508.478700621144 5
1338 12741 5547 16034 12741 13641 13528 15328 2684.6314530443747 5
1339 13272 5471 95594 13272 14172 15137 16937 16380.348901054826 5
1340 16464 95008 87362 16464 17364 17853 19653 12784.986240900258 5
1341 20293 114701 128454 20293 21193 21629 23429 7379.3648782895525 5
1342 44839 58631 111741 44839 45739 46580 48380 43547.117436691595 5
1343 54101 62239 64492 54101 55001 56401 58201 24480.53955376897 5
1344 59967 62234 64492 59967 60867 61560 63360 24751.8215695729 5
1345 62910 44377 178 62910 63810 64820 66620 44197.59291809036 5
1346 65962 5568 40788 65962 66862 67480 69280 10076.150568443909 5
1347 70078 109476 64492 70078 70978 71795 73595 26871.951045926282 5
1348 74908 109472 59212 74908 75808 75889 77689 10745.672052201346 5
1349 76128 109607 27079 76128 77028 77424 79224 27094.65117111337 5
1350 77893 62088 9903 77893 78793 79566 81366 43309.35318831607 5
1971 -310 14793 5585 -310 590 1142 2942 10313.58362745331 5
1972 818 3235 7347 818 1718 2908 4708 11789.820615865834 5
1973 2401 7347 9434 2401 3301 3697 5497 6167.133598352183 5
1974 3219 91541 10043 3219 4119 4209 6009 5016.3888897179095 5
1975 4547 4599 3132 4547 5447 5628 7428 4514.002657545898 5
1976 5460 10271 7348 5460 6360 6795 8595 8502.995507376145 5
1977 6276 7348 10368 6276 7176 7934 9734 7074.621042943307 5
1978 7572 3512 74061 7572 8472 8636 10436 5024.435298822348 5
1979 8393 65758 8222 8393 9293 9304 11104 2050.7844007442054 5
1980 9239 5568 103761 9239 10139 10139 11939 3165.26564289966 5
1981 9919 96982 11676 9919 10819 10915 12715 3194.5460337176196 5
1982 11052 10098 7844 11052 11952 12131 13931 6401.57256671244 5
1983 11762 7138 3148 11762 12662 13036 14836 8744.929468055405 5
1984 13554 8301 82635 13554 14454 14756 16556 14541.723080281321 5
1985 18108 109465 128482 18108 19008 19014 20814 7022.910972067832 5
1986 18534 109465 62107 18534 19434 19413 21213 3756.520479054807 5
1987 18929 43345 95362 18929 19829 20592 22392 44403.36450573708 5
1988 20507 95437 36189 20507 21407 21682 23482 4451.9391232422795 5
1989 22528 85403 1528 22528 23428 23427 25227 3084.8447315968583 5
1990 23632 5566 100926 23632 24532 25055 26855 18298.054240208043 5
1991 40594 65802 62185 40594 41494 42682 44482 48619.60234983511 5
1992 46086 53536 5419 46086 46986 46957 48757 3491.1488567815527 5
1993 49834 10275 14180 49834 50734 50802 52602 5590.853970257873 5
1994 50722 11304 12596 50722 51622 51685 53485 3818.1388612601786 5
1995 51238 2662 3620 51238 52138 52147 53947 4262.575969551518 5
1996 52500 85468 7804 52500 53400 54225 56025 8784.57937341192 5
1997 54830 9488 14773 54830 55730 55833 57633 4244.255477864946 5
1998 55728 4744 4101 55728 56628 56604 58404 2353.642763727368 5
1999 56109 4100 130674 56109 57009 57504 59304 5498.539717921844 5
2000 58673 3134 91535 58673 59573 59698 61498 6353.81847837384 5
2001 59244 91535 53541 59244 60144 60924 62724 9233.225633661004 5
2002 62842 37012 21422 62842 63742 64035 65835 21227.68031025102 5
2003 65544 53360 7975 65544 66444 67165 68965 41417.98382244663 5
2004 67485 91510 128753 67485 68385 68290 70090 2268.3186428538365 5
2005 69000 130752 33999 69000 69900 71341 73141 22202.876976900734 5
2006 70818 65538 60067 70818 71718 71652 73452 7257.548831602804 5
2007 77627 91408 4075 77627 78527 78389 80189 2340.430605622254 5
2008 78856 5773 5248 78856 79756 80023 81823 10082.480534038803 5
2009 80331 12408 4738 80331 81231 81663 83463 6185.91404134647 5
2010 81549 16697 10100 81549 82449 82681 84481 3220.901338613653 5
2011 82682 5773 95430 82682 83582 83490 85290 2361.7423008157093 5
2012 83186 121080 14211 83186 84086 84568 86368 10523.589480409573 5
2013 84761 1841 3376 84761 85661 85613 87413 2881.6231153277586 5
2014 85390 5004 3376 85390 86290 86128 87928 2181.7457530687 5
2691 3432 11847 14763 3432 4332 5362 7162 9246.524273580686 5
2692 4957 3148 237 4957 5857 5840 7640 3834.2550925550736 5
2693 6517 8870 4963 6517 7417 8020 9820 13251.846336241906 5
2694 8098 17105 15531 8098 8998 9226 11026 6312.538243883933 5
2695 9113 7086 91502 9113 10013 10160 11960 3388.177428706376 5
2696 9674 124612 10375 9674 10574 12028 13828 17776.126813197356 5
2697 11764 13337 10048 11764 12664 13411 15211 15390.817364565788 5
2698 13612 35753 53536 13612 14512 14551 16351 3570.024476158688 5
2699 14147 4086 8311 14147 15047 15038 16838 2427.1299809548423 5
2700 16182 11414 77792 16182 17082 17156 18956 5467.977759656964 5
2701 25268 4476 7804 25268 26168 26016 27816 2150.4329623899657 5
2702 42803 109629 100517 42803 43703 44527 46327 40945.37874613454 5
2703 44089 18056 3780 44089 44989 45111 46911 4597.311792948446 5
2704 45802 4686 62122 45802 46702 47720 49520 48263.51240753235 5
2705 54207 109572 108387 54207 55107 55300 57100 9175.428479370807 5
